groupId'albumId'file'description

// Барахолка *ДЛЯ ВАС* объявления, реклама, продажа

9032532'171372489'207.jpg'Новая осень/весна куртка Everest, легкий утеплитель до -5, водонепроницаемая, размер 86/92, цена 2990р, р-н Заречье (Комсомольская)
9032532'169582811'209.jpg'Новые зимние сапоги Kuoma, р27, цена 3190р, р-н Заречье (Комсомольская)
9032532'171372489'211.jpg'Новый зимний комбинезон Name It, теплый до -25, подклад флис, водонепроницаемый, размер 80, цена 3990р, р-н Заречье (Комсомольская)
9032532'171372489'214.jpg'осень/весна куртка Benetton, легкий утеплитель до -5, в хорошем состоянии, размер 120, цена 990р, р-н Заречье (Комсомольская)
9032532'171372489'215.jpg'Reima зимний (холодная осень/весна, теплая зима, до -10), комбинезон на новорожденного, идеальное состояние, р68-74, 1790р р-н Заречье (Комсомольская)
9032532'171372489'224.jpg'Новая поддева с подкладкой Tutta. Размер 70. Подходит, как для зимы в качестве поддевы, так и для теплой погоды от +10 в качестве верха. Цена 1390р, р-н Заречье (Комсомольская)
9032532'171373473'216.jpg'Новый зимний комплект Everest, на девочку, водонепроницаемый, размер 128, цена 4490р, р-н Заречье (Комсомольская)
9032532'169582811'222.jpg'Новые зимние сапоги Everest, на девочку, р26 (17 см), водонепроницаемые, цена 1990р, р-н Заречье (Комсомольская)
9032532'169582811'223.jpg'Новые зимние сапоги Salomon, р31 (20 см), водонепроницаемые, цена 2990р, р-н Заречье (Комсомольская)

// [БАРАХОЛКА 2.0 Москва] [купить продать объявления]

//11518469'151834462'174.jpg'Новый зимний комплект Ciraf, размер 92, цена 2490р, пересыл почтой
//11518469'151834462'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2790р, пересыл почтой
//11518469'151834462'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3290р, пересыл почтой
//11518469'141159127'168.jpg'Новые кроссовки Adidas Lightster Stab, р45 (28,5см), с биркой, ц2990р, пересыл почтой
//11518469'156303072'170.jpg'Новый женские кроссовки Adidas Lightster Stab W, размер 36 (23,5 см), 2990р, пересыл почтой
//11518469'156303072'169.jpg'Новые кроссовки Salomon, р36 (22,5 см), ц2490р, пересыл почтой

// ДЕТСКАЯ БАРАХОЛКА СПб и Лен. обл. (б/у & новое)

//1184362'116068326'174.jpg'Новый зимний комплект Ciraf, размер 92, цена 2490р, пересыл почтой
//1184362'116330471'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2790р, пересыл почтой
//1184362'116330550'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, пересыл почтой
//1184362'116330550'170.jpg'Новый женские кроссовки Adidas Lightster Stab W, размер 36 (23,5 см), 2990р, пересыл почтой

// ДЕТСКАЯ БАРАХОЛКА | ДОСКА ОБЪЯВЛЕНИЙ ЯРОСЛАВЛЬ

//47775483'168086682'174.jpg'Новый зимний комплект Ciraf, размер 92, цена 2490р, пересыл почтой
//47775483'167878781'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, пересыл почтой
//47775483'167878781'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, пересыл почтой

// Yar-Sale Барахолка, Объявления в Ярославле

//44341925'164156599'174.jpg'Новый зимний комплект Ciraf, размер 92, цена 2490р, пересыл почтой
//44341925'164156599'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2790р, пересыл почтой
////47775483'167878781'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, пересыл почтой

// ДОСКА ОБЪЯВЛЕНИЙ ЯРОСЛАВЛЬ| БАРАХОЛКА
//http://www.citymarket.fi/shop/CatalogSearchResultView?searchTerm=lasten+viking+talvi&storeId=4444&catalogId=4444&langId=22

//31070410'144784746'174.jpg'Новый зимний комплект Ciraf, размер 92, цена 2490р, пересыл почтой
//31070410'144785206'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, пересыл почтой
//31070410'144785206'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, пересыл почтой
